"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2020-12-13T04:25:49-08:00","111-6554068-1229847","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","LUK7","CUSTOMER_DAMAGED","UNWANTED_ITEM","Repackaged Successfully","LPNRRAH9944025",
"2020-12-12T22:25:43-08:00","114-9172796-7291411","AN-US-BMW-16","B074FGGCSV","B074FGGCSV","JOISCOPE MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Spa","1","TUS1","CARRIER_DAMAGED","ORDERED_WRONG_ITEM","Reimbursed","LPNPM296893167",
"2020-12-12T09:08:49-08:00","114-8322035-9385804","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","DEFECTIVE","QUALITY_UNACCEPTABLE","Reimbursed","LPNRRAO0688008","The item is damaged"
"2020-12-11T22:19:35-08:00","113-2718288-9259423","AN-US-HQBM20","B074SGXNXG","B074SGXNXG","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRRAO4490973",
"2020-12-11T20:32:31-08:00","114-1479442-9340253","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","DEFECTIVE","DEFECTIVE","Reimbursed","LPNRRAP0382582","Product is defective keeps falling apart"
"2020-12-11T19:43:07-08:00","111-0526684-4893006","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","IND8","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNN813660791",
"2020-12-11T16:47:55-08:00","114-3605586-6237863","AN-US-BMW-16","B074FGGCSV","B074FGGCSV","JOISCOPE MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Or","1","CVG2","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAO0687766",
"2020-12-11T10:46:48-08:00","112-8094963-3014657","AN-US-HBXJ8","B075RVVQQF","B075RVVQQF","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","TUS1","CUSTOMER_DAMAGED","MISSING_PARTS","Unit returned to inventory","LPNPM276476096",
"2020-12-11T09:39:50-08:00","113-3255489-8448206","AN-US-RB8","B074FP6DTZ","B074FP6DTZ","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CARRIER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNPM296847182",
"2020-12-11T00:33:29-08:00","114-9844641-6192252","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","DEFECTIVE","DEFECTIVE","Reimbursed","LPNRRAN5721826","***CSM***  Does not work / defective"
"2020-12-10T07:15:28-08:00","111-1787713-2351463","AN-US-HQBM20","B074SGXNXG","B074SGXNXG","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","TUS1","CARRIER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNPM298233892",
"2020-12-10T06:55:33-08:00","113-0583120-9788244","AN-US-RB8","B074FP6DTZ","B074FP6DTZ","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM300777759",
"2020-12-09T18:15:20-08:00","113-9227694-8609823","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRRAO4876276",
"2020-12-09T17:35:48-08:00","114-7465268-5735459","AN-US-RB8","B074FP6DTZ","B074FP6DTZ","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CARRIER_DAMAGED","ORDERED_WRONG_ITEM","Reimbursed","LPNPM296815826",
"2020-12-09T00:30:42-08:00","113-7777523-7181035","AN-US-TMBLK27","B082WVQRHS","X002ICPJB9","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (black,2x7-tier)","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM300854538",
"2020-12-08T22:36:34-08:00","113-1511000-1473818","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","TUS1","CUSTOMER_DAMAGED","SWITCHEROO","Unit returned to inventory","LPNPM293078200",
"2020-12-08T16:35:49-08:00","114-6934143-6980258","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAN5595741",
"2020-12-08T15:47:02-08:00","114-4378212-3271453","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAR8755534",
"2020-12-08T12:42:33-08:00","114-9608190-2304212","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAN5801104",
"2020-12-07T21:01:34-08:00","114-7609232-5763423","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRRAO7972802",
"2020-12-07T12:42:48-08:00","113-0046229-3181000","AN-US-TMWHT37","B082WV6T4N","X002ICESUR","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,3x7-tier)","1","TUS1","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPM297000705","DOes not fit the modular design."
"2020-12-07T10:36:28-08:00","111-6107187-2519416","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","TUS1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM292923320",
"2020-12-06T07:30:23-08:00","113-9049031-0480258","AN-US-RB8","B074FP6DTZ","B074FP6DTZ","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","SDF6","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAC2437095",
"2020-12-05T23:31:01-08:00","114-0541773-1124230","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","TUS1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPM292969609",
"2020-12-05T22:46:02-08:00","113-5486870-6146605","AN-US-RB16","B074FGP78K","B074FGP78K","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM267947585",
"2020-12-05T19:06:23-08:00","113-0929652-8397800","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAO4033350",
"2020-12-05T19:04:17-08:00","112-6985711-8444248","AN-US-BMW-16","B074FGGCSV","B074FGGCSV","JOISCOPE MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Spa","1","TUS1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM297038636",
"2020-12-05T13:59:30-08:00","111-3807208-2241855","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","LEX1","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRRAL2934251","damaged and doesnt fit together"
"2020-12-05T12:56:33-08:00","111-7892849-5021810","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM277207788",
"2020-12-05T12:45:37-08:00","113-0508650-9411462","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","TUS1","CARRIER_DAMAGED","MISSING_PARTS","Reimbursed","LPNPM271718538",
"2020-12-05T12:38:46-08:00","113-6681667-8689022","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","IND8","CARRIER_DAMAGED","ORDERED_WRONG_ITEM","Reimbursed","LPNN812837522",
"2020-12-05T08:17:45-08:00","112-8246568-2613835","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","IND8","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNN835916559",
"2020-12-05T07:26:57-08:00","114-6562526-8744243","AN-US-HBXJ8","B075RVVQQF","B075RVVQQF","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","CVG2","CARRIER_DAMAGED","MISSING_PARTS","Reimbursed","LPNRRAC3831466",
"2020-12-05T04:31:08-08:00","113-2275822-9085035","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","LEX2","CARRIER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNPM282998990",
"2020-12-04T18:59:23-08:00","114-8010651-7164259","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNRRAO4274697",
"2020-12-04T17:50:45-08:00","114-4320681-5940212","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM271787776",
"2020-12-04T09:38:31-08:00","112-1520798-9489056","AN-US-HQBM8","B074SJ3997","B074SJ3997","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","CVG2","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAO4627343",
"2020-12-04T04:00:06-08:00","111-5240237-0778648","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","SDF6","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRRAH9828710",
"2020-12-03T16:21:27-08:00","113-2902104-8883438","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRRAO4687592",
"2020-12-03T13:44:02-08:00","113-8744884-4170665","AN-US-CFZ2-C3","B07ZV22GRQ","X002ID0BYN","JOISCOPE Rolling Side Table, Industrial End Table on Wheels for Couch, Bed, Small Spaces, Bedroom, Living Room, Dorm, Office(Black Walnut Finish)","1","TUS1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNPM267726073",
"2020-12-03T13:32:03-08:00","112-0879358-8275439","AN-US-RB12","B074FGZVDN","B074FGZVDN","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","CVG2","CARRIER_DAMAGED","MISSING_PARTS","Reimbursed","LPNRRAN5724738",
"2020-12-03T10:38:22-08:00","112-5303731-0713041","AN-US-TMWHT37","B082WV6T4N","X002ICESUR","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,3x7-tier)","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM267941804",
"2020-12-03T09:16:17-08:00","111-7056716-0012208","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","TUS1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPM271618128",
"2020-12-03T04:42:52-08:00","113-2223870-9809843","AN-US-TMWHT37","B082WV6T4N","X002ICESUR","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,3x7-tier)","1","SDF6","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNRRAH9877804",
"2020-12-03T02:57:10-08:00","114-4556250-7879416","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM275719057",
"2020-12-03T02:01:48-08:00","112-3997079-5773061","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","LAS2","DEFECTIVE","MISSING_PARTS","Unit returned to inventory","LPNRRAK5317861","Missing frame, only arrived with panels"
"2020-12-03T01:42:54-08:00","114-7087395-8763402","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAN5749337",
"2020-12-02T12:16:55-08:00","113-6642867-1038631","AN-US-RB12","B074FGZVDN","B074FGZVDN","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM292979104",
"2020-12-02T01:23:16-08:00","112-1604304-3436204","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","TUS1","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM296992314",
"2020-12-02T00:09:47-08:00","111-5933460-9999418","AN-US-TMBLK37","B082WTZGS6","X002ICZ987","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (Black,3x7-tier)","1","SDF6","CUSTOMER_DAMAGED","DEFECTIVE","Reimbursed","LPNRRAH9842746",
"2020-12-01T19:38:58-08:00","112-8246568-2613835","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","IND8","CUSTOMER_DAMAGED","UNWANTED_ITEM","Repackaged Successfully","LPNN840460617",
"2020-12-01T01:24:06-08:00","114-1558192-7565003","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","TUS1","CARRIER_DAMAGED","NO_REASON_GIVEN","Reimbursed","LPNPM300816624",
"2020-12-01T00:03:00-08:00","112-4358552-7293068","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","CVG2","CARRIER_DAMAGED","UNDELIVERABLE_REFUSED","Reimbursed","LPNRRAN5461318",
